id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso,rnf_relacionado,justificacion
1014,2025-01-14,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Ambato,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1015,2025-01-15,Laboratorio,Retraso de 14s en la disponibilidad de resultados criticos,Tecnico Laboratorio,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1016,2025-01-16,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Falla crítica que expone la seguridad del paciente al omitir información vital de alergias, con un alto riesgo de shock anafiláctico o mala praxis."
1017,2025-01-17,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1018,2025-01-18,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Tecnico Laboratorio,Cuenca,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1019,2025-01-19,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Tecnico Laboratorio,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Laboratorio que impide al usuario completar sus tareas de manera precisa y completa.
1020,2025-01-20,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Manta,Libertad de Riesgo,Seguridad Clínica,"Fuga de información y violación de la confidencialidad médica (HIPAA/Ley de Protección de Datos), exponiendo datos de otros pacientes."
1021,2025-01-21,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1022,2025-01-22,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Radiologo,Guayaquil,Satisfacción,Usabilidad,Degradación visual que afecta la comodidad y confianza de los médicos al visualizar estudios clínicos desde la app móvil.
1023,2025-01-23,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1024,2025-01-24,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1025,2025-01-25,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Radiologo,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1026,2025-01-26,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1027,2025-01-27,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Guayaquil,Efectividad,Funcionalidad,Inconsistencia en la actualización de datos que impide la visualización correcta de información operativa reciente.
1028,2025-01-28,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Cuenca,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1029,2025-01-29,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1030,2025-01-30,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1031,2025-01-31,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1032,2025-02-01,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Violación del requerimiento no funcional RNF-03 de facturación; genera cobros indebidos en las tarjetas del cliente, comprometiendo la confianza y el riesgo financiero."
1033,2025-02-02,Farmacia,El sistema bloquea la dispensacion sin mostrar el motivo,Farmacia,Cuenca,Satisfacción,Usabilidad,La falta de mensajes informativos claros y feedback del sistema incrementa la incertidumbre y frustración del operario farmacéutico.
1034,2025-02-03,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Ambato,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1035,2025-02-04,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Manta,Cobertura de Contexto,Portabilidad,"Consumo excesivo de ancho de banda móvil, lo que restringe el uso eficiente del sistema en redes celulares de datos (fuera de la intranet del hospital)."
1036,2025-02-05,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1037,2025-02-06,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Fallas en la aplicación de notas de crédito o reembolsos que distorsionan los estados de cuenta, arriesgando multas tributarias e inconformidad legal."
1038,2025-02-07,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Cuenca,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1039,2025-02-08,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1040,2025-02-09,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1041,2025-02-10,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1042,2025-02-11,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1043,2025-02-12,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Cuenca,Cobertura de Contexto,Portabilidad,"Consumo excesivo de ancho de banda móvil, lo que restringe el uso eficiente del sistema en redes celulares de datos (fuera de la intranet del hospital)."
1044,2025-02-13,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato,Satisfacción,Usabilidad,La inestabilidad en el inicio biométrico genera frustración y reduce la confianza y comodidad del usuario al acceder al aplicativo móvil.
1045,2025-02-14,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Manta,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1046,2025-02-15,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1047,2025-02-16,Facturacion,Error de calculo en el copago del seguro medico,Admision,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1048,2025-02-17,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Cuenca,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1049,2025-02-18,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Ambato,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1050,2025-02-19,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1051,2025-02-20,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1052,2025-02-21,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Guayaquil,Libertad de Riesgo,Seguridad Clínica,El fallo en el despliegue de alertas de interacción farmacológica pone en riesgo inminente la salud del paciente ante combinaciones letales.
1053,2025-02-22,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Cuenca,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1054,2025-02-23,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1055,2025-02-24,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Discrepancia contable entre reportes directivos y facturación real, afectando las decisiones del negocio y la integridad de las auditorías."
1056,2025-02-25,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Farmacia,Quito,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1057,2025-02-26,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Guayaquil,Satisfacción,RNF-02 (Pasos del Portal),"Diseño de interfaz de usuario confuso que provoca el abandono del registro, afectando la métrica de satisfacción y facilidad de uso percibida."
1058,2025-02-27,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Cuenca,Efectividad,Funcionalidad,Inconsistencia en la actualización de datos que impide la visualización correcta de información operativa reciente.
1059,2025-02-28,Portal Citas,Tiempo de espera en el portal supera los 21s en horas pico,Paciente,Ambato,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1060,2025-03-01,Facturacion,Error de calculo en el copago del seguro medico,Admision,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Errores en el cálculo del copago de seguros o discrepancias de montos facturados, induciendo a pérdidas financieras o reclamaciones legales."
1061,2025-03-02,Portal Citas,Usuario no logra agendar tras 2 intentos,Paciente,Quito,Satisfacción,RNF-02 (Pasos del Portal),"Incapacidad del usuario de lograr su meta tras múltiples intentos, violando el RNF-02 y provocando un alto nivel de frustración."
1062,2025-03-03,HCE,Tiempo de carga de la ficha clinica supera los 23s en horas pico,Medico,Guayaquil,Eficiencia,Eficiencia Operativa,La latencia en horas pico para abrir la ficha clínica perjudica la productividad del médico durante la consulta.
1063,2025-03-04,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1064,2025-03-05,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Ambato,Libertad de Riesgo,Seguridad Clínica,"Error en el registro de medicamentos regulados, lo que genera riesgos legales, regulatorios y de seguridad en el control de sustancias psicotrópicas."
1065,2025-03-06,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Radiologo,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1066,2025-03-07,Telemedicina,Videollamada se corta a los 4 minutos,Paciente,Quito,Cobertura de Contexto,RNF-05 (Disponibilidad de llamada),"Falta de resiliencia del canal de comunicación ante variaciones en la conectividad del usuario, interrumpiendo la sesión de teleconsulta en producción."
1067,2025-03-08,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1068,2025-03-09,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Cuenca,Cobertura de Contexto,Portabilidad,Incompatibilidad y falta de robustez del sistema cuando se ejecuta en el contexto de sistemas cliente que no cuentan con la última versión de software.
1069,2025-03-10,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Ambato,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Discrepancia contable entre reportes directivos y facturación real, afectando las decisiones del negocio y la integridad de las auditorías."
1070,2025-03-11,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Manta,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1071,2025-03-12,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,"Riesgo extremo de salud para el paciente al guardar dosis farmacológicas erróneas en la receta electrónica, pudiendo causar sobredosis o inefectividad clínica."
1072,2025-03-13,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Guayaquil,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1073,2025-03-14,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Cuenca,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1074,2025-03-15,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Radiologo,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1075,2025-03-16,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Manta,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1076,2025-03-17,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1077,2025-03-18,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Guayaquil,Satisfacción,Usabilidad,"Mala experiencia de usuario que interrumpe de forma prematura el proceso de compra/agendamiento, forzando a repetir pasos."
1078,2025-03-19,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1079,2025-03-20,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1080,2025-03-21,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Manta,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1081,2025-03-22,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1082,2025-03-23,Telemedicina,Videollamada se corta a los 5 minutos,Paciente,Guayaquil,Cobertura de Contexto,RNF-05 (Disponibilidad de llamada),"Falta de resiliencia del canal de comunicación ante variaciones en la conectividad del usuario, interrumpiendo la sesión de teleconsulta en producción."
1083,2025-03-24,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1084,2025-03-25,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1085,2025-03-26,Reportes Gerenciales,El dashboard de indicadores no refleja los datos del ultimo cierre,Gerencia,Manta,Efectividad,Funcionalidad,Inconsistencia en la actualización de datos que impide la visualización correcta de información operativa reciente.
1086,2025-03-27,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Quito,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1087,2025-03-28,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Guayaquil,Libertad de Riesgo,Seguridad Clínica,Omitir la alerta de vencimiento de lotes farmacéuticos puede llevar a la administración de medicamentos caducados a los pacientes.
1088,2025-03-29,Facturacion,Retraso de 18s al procesar el pago con tarjeta de credito,Admision,Cuenca,Eficiencia,Eficiencia Operativa,El procesamiento lento del cobro con tarjeta retrasa el flujo de caja y la atención administrativa de admisión.
1089,2025-03-30,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Ambato,Satisfacción,RNF-02 (Pasos del Portal),"Diseño de interfaz de usuario confuso que provoca el abandono del registro, afectando la métrica de satisfacción y facilidad de uso percibida."
1090,2025-03-31,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Radiologo,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1091,2025-04-01,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1092,2025-04-02,Portal Citas,Tiempo de espera en el portal supera los 12s en horas pico,Paciente,Guayaquil,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1093,2025-04-03,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Cuenca,Libertad de Riesgo,Seguridad Clínica,"Fuga de información y violación de la confidencialidad médica (HIPAA/Ley de Protección de Datos), exponiendo datos de otros pacientes."
1094,2025-04-04,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1095,2025-04-05,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1096,2025-04-06,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,El fallo en el despliegue de alertas de interacción farmacológica pone en riesgo inminente la salud del paciente ante combinaciones letales.
1097,2025-04-07,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Guayaquil,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1098,2025-04-08,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Farmacia que impide al usuario completar sus tareas de manera precisa y completa.
1099,2025-04-09,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Ambato,Efectividad,Funcionalidad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1100,2025-04-10,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Manta,Cobertura de Contexto,Portabilidad,Incompatibilidad y falta de robustez del sistema cuando se ejecuta en el contexto de sistemas cliente que no cuentan con la última versión de software.
1101,2025-04-11,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1102,2025-04-12,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Facturacion que impide al usuario completar sus tareas de manera precisa y completa.
1103,2025-04-13,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1104,2025-04-14,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1105,2025-04-15,Laboratorio,Retraso de 33s en la disponibilidad de resultados criticos,Tecnico Laboratorio,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1106,2025-04-16,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1107,2025-04-17,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),Inconsistencia financiera en los cobros o transacciones del sistema que infringe las normativas contables y expone al hospital a pérdidas económicas.
1108,2025-04-18,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Cuenca,Efectividad,Funcionalidad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1109,2025-04-19,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1110,2025-04-20,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Tecnico Laboratorio,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1111,2025-04-21,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito,Libertad de Riesgo,Seguridad Clínica,El fallo en el despliegue de alertas de interacción farmacológica pone en riesgo inminente la salud del paciente ante combinaciones letales.
1112,2025-04-22,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Guayaquil,Libertad de Riesgo,Seguridad Clínica,El fallo en el despliegue de alertas de interacción farmacológica pone en riesgo inminente la salud del paciente ante combinaciones letales.
1113,2025-04-23,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1114,2025-04-24,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
1115,2025-04-25,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Radiologo,Manta,Satisfacción,Usabilidad,Degradación visual que afecta la comodidad y confianza de los médicos al visualizar estudios clínicos desde la app móvil.
1116,2025-04-26,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1117,2025-04-27,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1118,2025-04-28,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Cuenca,Efectividad,Funcionalidad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
1119,2025-04-29,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Ambato,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1120,2025-04-30,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Admision,Manta,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Fallas en la aplicación de notas de crédito o reembolsos que distorsionan los estados de cuenta, arriesgando multas tributarias e inconformidad legal."
1121,2025-05-01,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo App Movil que impide al usuario completar sus tareas de manera precisa y completa.
